Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;PF;24;NYK;9;2;20.4;2.3;4.8;0.488;0;0.3;0;2.3;4.4;0.525;0.488;0.6;1.4;0.385;2.4;1.8;4.2;0.6;0.4;1.3;0.4;2.2;5.2
2;Bam Adebayo;C;26;MIA;5;5;38.4;9.6;19.4;0.495;0.4;2;0.2;9.2;17.4;0.529;0.505;3;4.2;0.714;2.2;7.2;9.4;3.8;0.4;0;1.6;3;22.6
3;Nickeil Alexander-Walker;SG;25;MIN;16;1;23.6;2.6;7;0.366;1.5;5.1;0.296;1.1;1.9;0.548;0.473;0.6;0.6;1;0.3;1.4;1.8;2.3;0.6;0.4;0.9;1.5;7.3
4;Grayson Allen;SG;28;PHO;2;2;21.5;0.5;2.5;0.2;0.5;2.5;0.2;0;0;0;0.3;2;2;1;1;3;4;1;0.5;0;1.5;2;3.5
5;Jarrett Allen;C;25;CLE;4;4;31.8;6.3;9.3;0.676;0;0;0;6.3;9.3;0.676;0.676;4.5;6.5;0.692;3.8;10;13.8;1.3;1.3;1;1.3;2;17
6;Jose Alvarado;PG;25;NOP;4;0;15.5;0.8;5;0.15;0.3;3.5;0.071;0.5;1.5;0.333;0.175;0;0;0;0;1;1;2.3;1.3;0.3;1;0.8;1.8
7;Kyle Anderson;PF;30;MIN;15;1;15.4;1.7;3.8;0.456;0.1;0.5;0.25;1.6;3.3;0.49;0.474;0.7;0.8;0.833;1.2;1.5;2.7;2.5;0.7;0.3;0.7;1.7;4.3
8;Thanasis Antetokounmpo;PF;31;MIL;2;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0.5;0
9;Cole Anthony;PG;23;ORL;7;0;14.7;1.9;5.9;0.317;0.3;1.9;0.154;1.6;4;0.393;0.341;1.1;1.3;0.889;0.3;1.9;2.1;1.3;0.6;0.1;0.7;2.3;5.1
10;OG Anunoby;SF;26;NYK;9;9;36;6.2;12.3;0.505;1.8;4.3;0.41;4.4;8;0.556;0.577;0.9;1.4;0.615;0.8;5.2;6;1.1;0.9;1;1.1;1.7;15.1
11;Paolo Banchero;PF;21;ORL;7;7;37.4;9.7;21.3;0.456;2.3;5.7;0.4;7.4;15.6;0.477;0.51;5.3;7;0.755;2;6.6;8.6;4;1.1;0.6;4.6;2;27
