Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;PF-C;24;TOT;74;18;21.9;3.2;6.3;0.501;0.4;1.3;0.268;2.8;5;0.562;0.529;0.9;1.5;0.616;2.6;4;6.6;1.3;0.6;0.9;1.1;1.9;7.6
1;Precious Achiuwa;C;24;TOR;25;0;17.5;3.1;6.8;0.459;0.5;1.9;0.277;2.6;4.9;0.528;0.497;1;1.7;0.571;2;3.4;5.4;1.8;0.6;0.5;1.2;1.6;7.7
1;Precious Achiuwa;PF;24;NYK;49;18;24.2;3.2;6.1;0.525;0.3;1;0.26;2.9;5.1;0.578;0.547;0.9;1.4;0.643;2.9;4.3;7.2;1.1;0.6;1.1;1.1;2.1;7.6
2;Bam Adebayo;C;26;MIA;71;71;34;7.5;14.3;0.521;0.2;0.6;0.357;7.3;13.7;0.528;0.529;4.1;5.5;0.755;2.2;8.1;10.4;3.9;1.1;0.9;2.3;2.2;19.3
3;Ochai Agbaji;SG;23;TOT;78;28;21;2.3;5.6;0.411;0.8;2.7;0.294;1.5;2.8;0.523;0.483;0.5;0.7;0.661;0.9;1.8;2.8;1.1;0.6;0.6;0.8;1.5;5.8
3;Ochai Agbaji;SG;23;UTA;51;10;19.7;2.1;4.9;0.426;0.9;2.8;0.331;1.2;2.1;0.551;0.52;0.3;0.4;0.75;0.7;1.8;2.5;0.9;0.5;0.6;0.7;1.3;5.4
3;Ochai Agbaji;SG;23;TOR;27;18;23.6;2.7;6.8;0.391;0.6;2.6;0.217;2.1;4.3;0.496;0.432;0.8;1.3;0.611;1.4;1.9;3.3;1.3;0.7;0.6;1.1;1.9;6.7
4;Santi Aldama;PF;23;MEM;61;35;26.5;4;9.3;0.435;1.7;5;0.349;2.3;4.3;0.534;0.528;0.9;1.4;0.621;1.2;4.6;5.8;2.3;0.7;0.9;1.1;1.5;10.7
5;Nickeil Alexander-Walker;SG;25;MIN;82;20;23.4;2.9;6.6;0.439;1.6;4.1;0.391;1.3;2.5;0.517;0.56;0.6;0.8;0.8;0.4;1.6;2;2.5;0.8;0.5;0.9;1.7;8
6;Grayson Allen;SG;28;PHO;75;74;33.5;4.5;9.1;0.499;2.7;5.9;0.461;1.8;3.2;0.57;0.649;1.7;2;0.878;0.6;3.3;3.9;3;0.9;0.6;1.3;2.1;13.5
7;Jarrett Allen;C;25;CLE;77;77;31.7;6.7;10.6;0.634;0;0.1;0;6.7;10.6;0.638;0.634;3;4.1;0.742;3.2;7.4;10.5;2.7;0.7;1.1;1.6;1.9;16.5
8;Timmy Allen;SF;24;MEM;5;0;25;1.2;4.6;0.261;0;1.4;0;1.2;3.2;0.375;0.261;0.2;0.4;0.5;0.8;2.6;3.4;1;0.8;0;0.4;3.6;2.6
9;Jose Alvarado;PG;25;NOP;56;0;18.4;2.5;6.2;0.412;1.4;3.7;0.377;1.1;2.5;0.464;0.525;0.6;0.9;0.673;0.4;1.8;2.3;2.1;1.1;0.3;0.7;1.6;7.1
10;Kyle Anderson;PF;30;MIN;79;10;22.6;2.5;5.5;0.46;0.1;0.6;0.229;2.4;4.9;0.488;0.472;1.2;1.7;0.708;0.8;2.7;3.5;4.2;0.9;0.6;1.2;1.6;6.4
11;Giannis Antetokounmpo;PF;29;MIL;73;73;35.2;11.5;18.8;0.611;0.5;1.7;0.274;11;17.1;0.645;0.624;7;10.7;0.657;2.7;8.8;11.5;6.5;1.2;1.1;3.4;2.9;30.4
12;Thanasis Antetokounmpo;PF;31;MIL;34;0;4.6;0.5;0.9;0.533;0;0;0;0.5;0.9;0.552;0.533;0;0.1;0;0.2;0.2;0.4;0.5;0.2;0.1;0.4;0.7;0.9
13;Cole Anthony;PG;23;ORL;81;0;22.4;4.1;9.4;0.435;1.1;3.4;0.338;3;6;0.49;0.496;2.2;2.7;0.826;0.8;3;3.8;2.9;0.8;0.5;1.6;2.2;11.6
14;OG Anunoby;SF;26;TOT;50;50;34;5.6;11.5;0.489;2;5.3;0.382;3.6;6.2;0.581;0.577;1.3;1.8;0.753;0.9;3.2;4.2;2.1;1.4;0.7;1.6;2.4;14.7
14;OG Anunoby;SF;26;TOR;27;27;33.3;5.8;11.9;0.489;2.3;6;0.374;3.6;5.9;0.608;0.584;1.2;1.7;0.717;0.9;3;3.9;2.7;1;0.5;1.6;2.3;15.1
14;OG Anunoby;SF;26;NYK;23;23;34.9;5.4;11.1;0.488;1.8;4.5;0.394;3.7;6.6;0.553;0.568;1.5;1.9;0.791;1;3.4;4.4;1.5;1.7;1;1.7;2.5;14.1
15;Ryan Arcidiacono;PG;29;NYK;20;0;2.3;0;0.3;0;0;0.3;0;0;0;0;0;0;0;0;0;0.4;0.4;0.2;0.1;0;0.1;0.3;0
16;Deni Avdija;SF;23;WAS;75;75;30.1;5.4;10.7;0.506;1.2;3.1;0.374;4.2;7.6;0.56;0.56;2.7;3.6;0.74;1.1;6.1;7.2;3.8;0.8;0.5;2.1;2.5;14.7
17;Deandre Ayton;C;25;POR;55;55;32.4;7.8;13.6;0.57;0;0.2;0.1;7.7;13.4;0.576;0.571;1.2;1.4;0.823;3.2;7.9;11.1;1.6;1;0.8;1.8;2;16.7
18;Udoka Azubuike;C;24;PHO;16;0;7.1;1;1.4;0.696;0;0;0;1;1.4;0.696;0.696;0.2;0.8;0.231;0.7;1.3;2;0.2;0.1;0.4;0.3;1.1;2.2
19;Ibou Badji;C;21;POR;22;1;10.3;0.6;1;0.636;0;0;0;0.6;1;0.636;0.636;0.3;0.5;0.5;0.9;1.4;2.3;0.6;0.1;0.9;0.7;2.1;1.5
20;Marvin Bagley III;C;24;TOT;50;25;21.1;4.8;8.2;0.586;0.2;0.5;0.391;4.6;7.7;0.597;0.597;1.9;2.5;0.762;2.6;3.6;6.2;1.1;0.4;0.7;1.2;1.6;11.7
20;Marvin Bagley III;C;24;DET;26;10;18.4;4.1;7;0.591;0;0.2;0.167;4.1;6.7;0.606;0.594;1.9;2.3;0.82;1.8;2.8;4.5;1;0.2;0.5;1.1;1.5;10.2
20;Marvin Bagley III;C;24;WAS;24;15;24;5.5;9.5;0.581;0.3;0.7;0.471;5.2;8.8;0.59;0.599;1.9;2.7;0.708;3.5;4.6;8.1;1.2;0.6;0.8;1.3;1.7;13.3
21;Amari Bailey;PG;19;CHO;10;0;6.5;0.8;2.4;0.333;0.1;0.8;0.125;0.7;1.6;0.438;0.354;0.6;0.7;0.857;0.6;0.3;0.9;0.7;0.3;0;0.4;0.2;2.3
22;Patrick Baldwin Jr.;SF;21;WAS;38;7;13;1.6;4.1;0.381;0.8;2.6;0.32;0.7;1.5;0.483;0.481;0.5;0.7;0.679;0.4;2.8;3.2;0.8;0.5;0.4;0.5;1.5;4.4
23;LaMelo Ball;PG;22;CHO;22;22;32.3;8.3;19.2;0.433;3.2;9;0.355;5.1;10.3;0.5;0.515;4.1;4.7;0.865;1.3;3.8;5.1;8;1.8;0.2;3.8;3.6;23.9
24;Mo Bamba;C;25;PHI;57;17;13;1.7;3.5;0.49;0.4;1.1;0.391;1.3;2.4;0.537;0.553;0.6;0.9;0.68;1.4;2.8;4.2;0.7;0.4;1.1;0.7;1.8;4.4
25;Paolo Banchero;PF;21;ORL;80;80;35;8;17.6;0.455;1.5;4.4;0.339;6.5;13.2;0.493;0.497;5.1;7;0.725;1;5.9;6.9;5.4;0.9;0.6;3.1;1.9;22.6
26;Desmond Bane;SG;25;MEM;42;42;34.4;8.6;18.5;0.464;3.3;8.6;0.381;5.3;9.9;0.536;0.552;3.3;3.8;0.87;0.9;3.5;4.4;5.5;1;0.5;2.7;2.9;23.7
27;Dalano Banton;PG;24;TOT;54;9;19.4;3.7;9.3;0.404;1.1;3.7;0.296;2.6;5.6;0.475;0.463;1.7;2.2;0.783;0.8;2.5;3.3;2.4;0.6;0.4;1.4;1.2;10.3
27;Dalano Banton;PG;24;BOS;24;1;7.1;0.8;2.1;0.373;0.1;0.7;0.125;0.7;1.5;0.486;0.392;0.7;0.8;0.8;0.5;1;1.5;0.8;0.2;0.1;0.4;0.8;2.3
27;Dalano Banton;PG;24;POR;30;8;29.2;6.1;15;0.408;1.9;6.1;0.311;4.2;8.9;0.474;0.471;2.6;3.3;0.78;1;3.8;4.8;3.6;0.9;0.6;2.2;1.5;16.7
28;Dominick Barlow;PF;20;SAS;33;1;12.7;1.7;3.4;0.496;0.1;0.3;0.333;1.6;3.2;0.51;0.509;0.9;1.3;0.69;1.4;2.1;3.4;1.1;0.4;0.4;0.3;1.4;4.4
29;Harrison Barnes;PF;31;SAC;82;82;29;4.2;8.9;0.474;1.8;4.7;0.387;2.4;4.2;0.571;0.576;1.9;2.4;0.801;0.8;2.2;3;1.2;0.7;0.1;0.7;1.2;12.2
30;Scottie Barnes;SG;22;TOR;60;60;34.9;7.5;15.7;0.475;1.7;4.9;0.341;5.8;10.8;0.536;0.528;3.3;4.2;0.781;2.4;5.9;8.2;6.1;1.3;1.5;2.8;2;19.9
31;RJ Barrett;SG;23;TOT;58;58;31.7;7.5;15.2;0.495;1.6;4.3;0.36;6;10.9;0.549;0.547;3.6;5;0.715;0.9;4.5;5.4;3.3;0.5;0.4;2.2;2.2;20.2
31;RJ Barrett;SG;23;NYK;26;26;29.5;6.3;14.9;0.423;1.7;5;0.331;4.7;9.9;0.469;0.478;4;4.8;0.831;0.7;3.5;4.3;2.4;0.5;0.3;1.8;1.7;18.2
31;RJ Barrett;SG;23;TOR;32;32;33.5;8.5;15.4;0.553;1.5;3.8;0.392;7;11.6;0.605;0.601;3.3;5.2;0.629;1.1;5.3;6.4;4.1;0.6;0.4;2.5;2.6;21.8
32;Charles Bassey;C;23;SAS;19;0;10.8;1.5;2.1;0.725;0;0.1;0;1.5;2.1;0.744;0.725;0.3;0.3;0.833;1.2;2.8;4;1.1;0.4;0.9;0.8;1.6;3.3
33;Emoni Bates;SF;20;CLE;15;0;8.9;1;3.3;0.306;0.7;2.2;0.303;0.3;1.1;0.313;0.408;0.1;0.3;0.25;0.1;0.9;0.9;0.7;0.1;0.1;0.5;0.3;2.7
34;Keita Bates-Diop;SF;28;TOT;53;8;12.5;1.4;3.1;0.434;0.4;1.3;0.304;1;1.8;0.526;0.497;0.6;0.8;0.762;0.6;1.5;2.1;0.7;0.5;0.4;0.3;0.7;3.7
34;Keita Bates-Diop;SF;28;PHO;39;8;15.3;1.6;3.8;0.427;0.5;1.6;0.313;1.1;2.2;0.512;0.493;0.7;0.9;0.722;0.8;1.8;2.6;0.9;0.6;0.5;0.3;0.8;4.5
34;Keita Bates-Diop;SF;28;BRK;14;0;4.9;0.6;1.1;0.5;0.1;0.4;0.2;0.5;0.8;0.636;0.531;0.4;0.4;1;0.1;0.6;0.6;0.3;0.2;0.1;0.1;0.1;1.6
